Nome;Geolocalizzazione
Giffoni Valle Piana;40.740198, 14.896768
Gioi;40.288747, 15.217645
Giungano;40.390131, 15.086552
Ispani;40.087296, 15.558610
Laureana Cilento;40.300058, 15.038385
Laurino;40.337389, 15.336022
Laurito;40.167823, 15.407119
Laviano;40.786337, 15.307710
Lustra;40.288886, 15.067327
Magliano Vetere;40.347669, 15.236056
Maiori;40.648589, 14.646823
Mercato San Severino;40.79569194237964, 14.71876003048105
Minori;40.659561, 14.629700
Moio della Civitella;40.246719, 15.269015
Montano Antilia;40.162854, 15.359502
Monte San Giacomo;40.341883, 15.541381
Montecorice;40.234149, 14.984340
Montecorvino Pugliano;40.678787, 14.945091
Montecorvino Rovella;40.69584846496582,14.975634098664159
Monteforte Cilento;40.36394300417296,15.194443842502817
Montesano sulla Marcellana;40.27484893798828,15.702534199372167
Morigerati;40.13940811157227,15.554876446876733
Nocera Inferiore;40.74614524841309,14.635658741608495
Nocera Superiore;40.74254035949707,14.665699482575292
Novi Velia;40.22360801696777,15.278755724430084
Ogliastro Cilento;40.35325527191163,15.040987282991411
Olevano sul Tusciano;40.63911437988281,14.984257221221924
Oliveto Citra;40.69104194641113,15.230690538883211
Omignano;40.24884223937988,15.083748400211334
Orria;40.30016899108887,15.172325670719147
Ottati;40.46273231506348,15.316692888736725
Padula;40.337419509887695,15.65263420343399
Pagani;40.746488571167,14.613396227359774
Palomonte;40.662975311279304,15.291321873664856
Pellezzano;40.72477340698242,14.745782017707825
Perdifumo;40.268669128417976,15.017763376235962
Perito;40.30128479003907,15.144932270050049
Pertosa;40.54521560668945,15.446847081184389
Petina;40.53234100341797,15.370699167251587
Piaggine;40.345659255981445,15.380550920963287
Pisciotta;40.10807991027832,15.23223549127579
Polla;40.51551818847657,15.495121479034424
Pollica;40.19124984741211,15.05580246448517
Pontecagnano Faiano;40.64563751220704,14.86876130104065
Positano;40.62941551208496,14.487053453922272
Postiglione;40.55929183959961,15.231583714485168
Praiano;40.61164855957031,14.525578022003174
Prignano Cilento;40.33029556274414,15.067475438117983
Ravello;40.64919948577881,14.61106136441231
Ricigliano;40.66829681396485,15.492922067642212
Roccadaspide;40.425310134887695,15.193096697330477
Roccagloriosa;40.1085090637207,15.430367588996887
Roccapiemonte;40.7615089416504,14.692910313606262
Rofrano;40.21193504333496,15.42998939752579
Romagnano al Monte;40.610361099243164,15.450760424137115
Roscigno;40.39956092834473,15.348450243473053
Rutino;40.29989652187506, 15.074718076562972
Sacco;40.37954196453745, 15.375650954821372
Sala Consilina;40.40228820333128, 15.589621941803356
Salento;40.249761832221175, 15.187963954739097
Salerno;40.682419254128725, 14.75935319328574
Salvitelle;40.59197443410919, 15.460141511090665
San Cipriano Picentino;40.72001610038164, 14.868805607368158
San Giovanni a Piro;40.05288641808795, 15.45152976705703
San Gregorio Magno;40.66066497427499, 15.398411662212288
San Mango Piemonte;40.70177799598817, 14.832552636738557
San Marzano sul Sarno;40.775841608883965, 14.588232288221759
San Mauro Cilento;40.22754074541165, 15.044289063602486
San Mauro La Bruca;40.124115989797886, 15.288135118221582
San Pietro al Tanagro;40.45852264074942, 15.482683790277378
San Rufo;40.43373915231547, 15.459516111494564
San Valentino Torio;40.79410629245234, 14.601457258944192
Sant'Angelo a Fasanella;40.45944318468831, 15.338283147045995
Sant'Arsenio;40.47480519205822, 15.481933006265487
Sant'Egidio del Monte Albino;40.74565891675127, 14.593446526461067
Santa Marina;40.10709477700349, 15.542793185743891
Santomenna;40.80930293069495, 15.320843095243879
Sanza;40.24403715572983, 15.552249811159152
Sapri;40.07548286392427, 15.6335686579036
Sarno;40.81496178351802, 14.615318363295529
Sassano;40.343505436780944, 15.564996712574201
Scafati;40.770080475662105, 14.53251623328741
Scala;40.657039838342726, 14.607660667887139
Serramezzana;40.24546405795721, 15.032881966965693
Serre;40.58419144044187, 15.186256270466572
Sessa Cilento;40.25994951247989, 15.074594625662865
Siano;40.804455603447295, 14.69171030620583
Sicignano degli Alburni;40.55995722499575, 15.302558842329026
Stella Cilento;40.23234923339553, 15.093154597905395
Stio;40.3112077486499, 15.256090914622606
Teggiano;40.37945632527033, 15.539261748545982
Torchiara;40.322342245653914, 15.053052386286161
Torraca;40.11188860168475, 15.637455146878455
Torre Orsaia;40.133461172021384, 15.472677962472773
Tortorella;40.14259072394168, 15.605900620654465
Tramonti;40.69087321987691, 14.645147263268845
Trentinara;40.40039079404929, 15.114624835360603
Valle dell'Angelo;40.34393390797843, 15.368421563767738
Vallo della Lucania;40.231433484338005, 15.261537025976617
Valva;40.73934138963731, 15.268555807554643
Vibonati;40.10104660974461, 15.581446291802969
Vietri sul Mare;40.67029547135992, 14.728460591347845
